6904000	9111,5267,10056,11319,642
5491500	25212,9472,25989,7089,20803
5655250	23669,3702,9131,9340,11396
1561250	24307,21511,14261,7096,8495
1074750	12747,10171,11904,12285,21865
5264500	4172,8625,26420,1642,16550
11613500	7868,20449,28641,10151,19881
10756500	14942,17706,6656,26771,7522
5034000	7465,10584,3723,12316,28347
1971500	25329,7096,11000,3151,7230
8435250	14261,16540,21067,16110,11080
1118250	24306,26665,8278,18712,10970
5780000	11022,15315,2291,26523,8842
11225500	4731,13020,25960,16463,10176
6257000	23628,23563,16540,11849,21071
4631250	20896,29099,7868,27052,5184
12016750	18741,15784,3647,4807,1000
6233750	18180,4220,3458,10584,3051
3211250	17706,12431,11076,6148,27155
6998500	201,19416,3627,8689,11983
11158000	21930,239,7868,28876,6738
8617500	28270,27625,11280,26619,2669
5654000	5896,4300,17926,23861,528
1459750	25830,16550,12220,21393,20228
10619000	12647,23793,6918,29547,4949
3588500	4644,7432,18712,1831,23284
11352000	7096,15155,6163,8010,15502
1966250	3228,25260,2257,16110,18730
8628250	20979,8630,28481,29465,26288
11612500	5848,18075,18741,17641,12996
8573000	6158,28049,19828,2323,16110
2103250	7567,12394,22280,4220,11022
7367000	15686,21336,11083,17945,143
6523250	11196,14020,11685,16540,23086
12215000	6672,9363,12352,7868,15639
7218000	22317,21936,18630,24669,7096
10578000	20896,29213,13778,14073,26523
11129250	949,14580,14577,11687,11280
1104500	18678,21110,22393,2257,12394
1629250	18024,19891,24196,21392,24601
2078000	17449,14902,14446,4644,7622
2316250	9657,26288,9688,28535,23475
8163500	18868,15022,23103,24608,2257
7687500	14498,12364,619,12182,6737
200250	12352,5856,25570,1831,17556
7588000	28653,28975,10329,17470,7105
9720000	29442,2771,13830,16315,19894
42000	11578,8890,13390,29528,11687
12065000	12453,3228,6480,10999,14120
1727500	4452,7812,9563,28669,3228
5846250	18200,19993,17747,15805,14766
8149250	11196,12162,14294,7868,26464
10592750	13093,15934,3804,25488,28794
7699500	14182,9802,23928,13592,26127
5865750	3228,10268,11652,28177,4238
11632250	25022,4819,24196,15389,12220
4475750	3719,20536,20551,2227,19113
7269250	20578,23295,2729,27791,26180
5078750	25669,62,13592,8483,23628
10598500	11776,7105,155,9563,24385
8072250	526,14894,19036,27033,23143
5959000	14153,27791,4078,6672,11328
4658500	25917,17453,21838,11330,25960
5170500	17581,14020,21672,18805,7868
8111500	12790,11018,454,23878,527
1617250	18002,2217,19405,11329,23284
1661750	1731,22342,2729,9802,3151
6247250	15814,8171,25618,19615,28626
9906500	23656,28411,12394,8689,26298
8216750	24281,12285,9369,27952,6401
11111500	4216,25142,25372,14623,22029
5915250	15138,14242,21110,444,28087
12154500	9471,15086,17214,13226,7611
10063000	10893,14930,21110,22889,20207
5279750	2368,25211,10151,14525,15192
6683750	29551,10169,17945,14818,24562
1338750	845,6571,13450,12410,9629
5769750	2455,4440,26614,143,18731
2733500	19824,13272,25260,22529,22094
2253250	437,18730,28189,23525,155
2920750	12285,13757,8669,27155,15946
11503250	504,8878,17260,11745,3755
8096750	21672,22077,23628,28641,23896
7892000	1530,10928,911,16913,9340
7785250	11790,12132,23928,21657,19962
4922750	2669,20701,18013,25733,7263
4850000	11605,4731,12512,614,1428
3952000	25917,19837,13998,9111,4648
4852000	7038,15584,282,12259,25352
11313000	27406,17013,7456,21865,11018
12231250	24274,28149,27155,19539,12173
1710500	14780,28065,7868,29547,12977
1244250	4324,27670,28183,624,2764
746000	155,21865,3032,6571,12435
5906250	13784,143,20529,19217,17446
3293750	25193,26523,18075,7070,12758
3054250	9563,3151,14020,29203,5448
12142750	9834,10760,2375,29099,3536
3520000	14415,1700,24434,3999,7105
4606000	21110,8240,15120,3228,9499
10713250	617,11220,22633,22823,26619
3781500	27161,15606,911,28117,241
2891500	8724,3627,255,819,14580
2752000	3032,12243,22179,19772,19405
10521000	18612,6856,21315,17920,10225
299750	24601,11080,23612,21110,8528
4215750	23656,1037,17356,26127,21085
9694750	911,21233,23656,9838,27791
1086750	18977,1084,9899,28791,3536
3625250	26614,5625,20549,18180,16085
4153000	21865,9111,17921,5043,9567
7797000	12754,6447,6571,24066,10745
854250	9881,19692,24601,7868,14294
7306250	28754,4691,2249,22359,24379
2823250	2610,25329,2410,8689,23661
4770500	10404,9165,4808,18075,5797
393250	22306,4949,13093,20154,11176
6897000	7626,23223,18544,24177,4052
5108000	15094,29203,29547,4254,22359
6807250	22393,10646,8630,5712,5529
11579750	12688,8410,15217,11196,12132
5226250	8689,15907,26416,10726,24669
3723750	12271,3406,14020,1831,13247
7002750	1481,5081,1831,2270,16540
341000	25840,17958,4003,26722,679
10229250	8689,21593,18289,23774,24869
8216500	22552,14159,25308,22916,6148
6301250	11543,574,14292,8689,14942
8195000	4078,21672,28410,8943,5185
1792000	9301,20630,23214,16540,13390
2874500	7868,4172,28370,14914,6203
11601500	6299,6190,11080,12220,28117
892500	23403,10306,17446,18741,2669
5261000	1591,11000,24788,11410,13592
10818500	5334,17855,1038,4618,11573
7034000	17402,26829,14266,3850,27153
3592750	14694,5836,29547,7868,24601
1046250	27791,10678,18196,6621,2257
2476250	23202,8684,21950,29231,23900
4852500	911,16500,10151,5297,2929
7375000	11857,27625,25309,16463,17429
4059500	16463,805,12159,28465,9549
799000	27791,21946,24553,25839,16331
7435500	27950,178,24886,7975,18024
4625750	22321,26000,3151,25366,11734
7163250	17748,22609,20154,19702,26595
3549000	5184,14261,5285,12395,10872
8869250	11203,8689,28230,15018,11623
4184250	11196,8689,178,12220,14695
11169500	19277,19217,953,2198,4220
6258500	12068,20471,934,1432,28180
8529750	22583,28059,23013,18026,9702
11957000	23907,16818,12977,21995,21078
1758250	28463,3091,6571,28481,2764
2921750	11201,29547,25272,20184,22280
9512750	4239,11080,28135,19903,13285
11683250	12541,14603,24704,3886,1249
9513250	23928,18024,20800,414,1008
11923000	18730,19636,11328,3228,13607
6874250	12168,28410,14265,18805,13483
1579250	21160,4953,7105,4078,8698
11616250	9829,12033,10710,13450,27600
7715000	11790,19394,13795,24978,7868
3644250	4381,7127,29473,16406,7230
8100250	7868,14631,14952,7105,12352
11984750	993,12352,20425,15502,24601
5011500	23013,22280,11196,23779,6219
4025000	9894,4571,17437,3627,23793
8040000	17084,9792,12994,23285,13872
8792750	7019,5598,27939,14416,25883
11761750	3913,9765,20846,5086,22043
9199500	24969,29099,4081,4578,3228
